record_type,training_seed,accuracy,macro_f1,mae,auc,sensitivity,specificity,fold,train_n,eval_n,majority_acc,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,train_minutes,accuracy_std,macro_f1_std,mae_std,auc_std,sensitivity_std,specificity_std
fold_raw,42,0.715,0.6836057839083012,0.285,0.7817020377995988,0.8373983739837398,0.5194805194805194,1.0,796.0,200.0,0.615,0.6666666666666666,0.5194805194805194,0.583941605839416,0.7357142857142858,0.8373983739837398,0.7832699619771863,2.27,,,,,,
fold_raw,42,0.7688442211055276,0.7430960933991917,0.23115577889447236,0.7754417713434109,0.8852459016393442,0.5844155844155844,2.0,797.0,199.0,0.6130653266331658,0.7627118644067796,0.5844155844155844,0.6617647058823529,0.7714285714285715,0.8852459016393442,0.8244274809160306,2.31,,,,,,
fold_raw,42,0.7286432160804021,0.6939507860560492,0.271356783919598,0.8032254630615285,0.8688524590163934,0.5064935064935064,3.0,797.0,199.0,0.6130653266331658,0.7090909090909091,0.5064935064935064,0.5909090909090909,0.7361111111111112,0.8688524590163934,0.7969924812030075,2.36,,,,,,
fold_raw,42,0.7437185929648241,0.7317704892036895,0.2562814070351759,0.7870132648694907,0.7723577235772358,0.6973684210526315,4.0,797.0,199.0,0.6180904522613065,0.654320987654321,0.6973684210526315,0.6751592356687898,0.8050847457627118,0.7723577235772358,0.7883817427385892,2.35,,,,,,
fold_raw,42,0.7839195979899497,0.760690214503454,0.21608040201005024,0.8330658964484381,0.8861788617886179,0.618421052631579,5.0,797.0,199.0,0.6180904522613065,0.7704918032786885,0.618421052631579,0.6861313868613139,0.7898550724637681,0.8861788617886179,0.8352490421455939,2.36,,,,,,
seed_summary,42,0.7480251256281407,0.7226226734141371,0.2519748743718593,0.7960896867044934,0.8500066640010662,0.5852358168147642,,,,,,,,,,,,0.02831391639583191,0.032773373093016894,0.02831391639583192,0.023096978559660506,0.04768050617907991,0.07778136690881796
fold_raw,3407,0.735,0.7133198106828939,0.265,0.8177594762960617,0.8211382113821138,0.5974025974025974,1.0,796.0,200.0,0.615,0.6764705882352942,0.5974025974025974,0.6344827586206897,0.7651515151515151,0.8211382113821138,0.792156862745098,2.31,,,,,,
fold_raw,3407,0.7487437185929648,0.7352033212688951,0.25125628140703515,0.8071109218650202,0.7950819672131147,0.6753246753246753,2.0,797.0,199.0,0.6130653266331658,0.6753246753246753,0.6753246753246753,0.6753246753246753,0.7950819672131147,0.7950819672131147,0.7950819672131147,2.31,,,,,,
fold_raw,3407,0.7286432160804021,0.7095675675675676,0.271356783919598,0.8179156908665106,0.8032786885245902,0.6103896103896104,3.0,797.0,199.0,0.6130653266331658,0.6619718309859155,0.6103896103896104,0.6351351351351351,0.765625,0.8032786885245902,0.784,2.33,,,,,,
fold_raw,3407,0.7638190954773869,0.74189364461738,0.23618090452261306,0.8269683354728284,0.8536585365853658,0.618421052631579,4.0,797.0,199.0,0.6180904522613065,0.7230769230769231,0.618421052631579,0.6666666666666666,0.7835820895522388,0.8536585365853658,0.8171206225680934,2.35,,,,,,
fold_raw,3407,0.7889447236180904,0.771489501312336,0.21105527638190955,0.8303380402225075,0.8617886178861789,0.6710526315789473,5.0,797.0,199.0,0.6180904522613065,0.75,0.6710526315789473,0.7083333333333334,0.8091603053435115,0.8617886178861789,0.8346456692913385,2.37,,,,,,
seed_summary,3407,0.7530301507537688,0.7342947690898145,0.24696984924623117,0.8200184929445857,0.8269892043182725,0.6345181134654818,,,,,,,,,,,,0.024209710303470258,0.02496697747397793,0.024209710303470286,0.009095654060601343,0.02973527755658675,0.03612065913482984
fold_raw,2026,0.775,0.7593518543276558,0.225,0.8090486749023335,0.8373983739837398,0.6753246753246753,1.0,796.0,200.0,0.615,0.7222222222222222,0.6753246753246753,0.697986577181208,0.8046875,0.8373983739837398,0.8207171314741036,2.28,,,,,,
fold_raw,2026,0.7286432160804021,0.7126123234916559,0.271356783919598,0.7979029167553757,0.7868852459016393,0.6363636363636364,2.0,797.0,199.0,0.6130653266331658,0.6533333333333333,0.6363636363636364,0.6447368421052632,0.7741935483870968,0.7868852459016393,0.7804878048780488,2.34,,,,,,
fold_raw,2026,0.6884422110552764,0.6665405405405405,0.31155778894472363,0.7728869491164574,0.7704918032786885,0.5584415584415584,3.0,797.0,199.0,0.6130653266331658,0.6056338028169014,0.5584415584415584,0.581081081081081,0.734375,0.7704918032786885,0.752,2.34,,,,,,
fold_raw,2026,0.7688442211055276,0.7563870555673835,0.23115577889447236,0.8119383825417201,0.8048780487804879,0.7105263157894737,4.0,797.0,199.0,0.6180904522613065,0.6923076923076923,0.7105263157894737,0.7012987012987013,0.8181818181818182,0.8048780487804879,0.8114754098360656,2.37,,,,,,
fold_raw,2026,0.7537688442211056,0.7480426862354977,0.24623115577889448,0.8296961916987591,0.7317073170731707,0.7894736842105263,5.0,797.0,199.0,0.6180904522613065,0.6451612903225806,0.7894736842105263,0.7100591715976331,0.8490566037735849,0.7317073170731707,0.7860262008733624,2.35,,,,,,
seed_summary,2026,0.7429396984924623,0.7285868920325467,0.2570603015075377,0.8042946230029291,0.7862721578035451,0.6740259740259742,,,,,,,,,,,,0.035321888285105234,0.039378917262883006,0.03532188828510523,0.02093778671010876,0.03932806399324532,0.0857909438183232
final,all,0.7479983249581239,0.7285014448454993,0.25200167504187604,0.806800934217336,0.8210893420409612,0.6312599681020734,,,,,,,,,,,,0.005045279518159635,0.005836516964926296,0.00504527951815969,0.012159693209393353,0.032274263759672246,0.044484656206434485
